Year,Age of Employed Male Resident,Employed
2022,15 - 19,17
2022,20 - 24,57
2022,25 - 29,96
2022,30 - 34,143
2022,35 - 39,140
2022,40 - 44,146
2022,45 - 49,153
2022,50 - 54,134
2022,55 - 59,135
2022,60 - 64,112
2022,65+,124
2021,15 - 19,16
2021,20 - 24,63
2021,25 - 29,115
2021,30 - 34,146
2021,35 - 39,142
2021,40 - 44,139
2021,45 - 49,135
2021,50 - 54,114
2021,55 - 59,120
2021,60 - 64,111
2021,65+,121
2020,15 - 19,18
2020,20 - 24,60
2020,25 - 29,111
2020,30 - 34,127
2020,35 - 39,133
2020,40 - 44,137
2020,45 - 49,146
2020,50 - 54,131
2020,55 - 59,128
2020,60 - 64,101
2020,65+,106
2019,15 - 19,21
2019,20 - 24,69
2019,25 - 29,114
2019,30 - 34,123
2019,35 - 39,131
2019,40 - 44,135
2019,45 - 49,145
2019,50 - 54,137
2019,55 - 59,129
2019,60 - 64,101
2019,65+,98
2018,15 - 19,23
2018,20 - 24,71
2018,25 - 29,111
2018,30 - 34,119
2018,35 - 39,135
2018,40 - 44,144
2018,45 - 49,140
2018,50 - 54,140
2018,55 - 59,128
2018,60 - 64,98
2018,65+,89
2017,15 - 19,22
2017,20 - 24,73
2017,25 - 29,107
2017,30 - 34,117
2017,35 - 39,137
2017,40 - 44,146
2017,45 - 49,142
2017,50 - 54,139
2017,55 - 59,121
2017,60 - 64,97
2017,65+,88
2016,15 - 19,22
2016,20 - 24,79
2016,25 - 29,110
2016,30 - 34,119
2016,35 - 39,132
2016,40 - 44,136
2016,45 - 49,135
2016,50 - 54,143
2016,55 - 59,127
2016,60 - 64,97
2016,65+,79
2015,15 - 19,23
2015,20 - 24,77
2015,25 - 29,102
2015,30 - 34,120
2015,35 - 39,134
2015,40 - 44,143
2015,45 - 49,137
2015,50 - 54,146
2015,55 - 59,127
2015,60 - 64,91
2015,65+,71
2014,15 - 19,19
2014,20 - 24,79
2014,25 - 29,102
2014,30 - 34,123
2014,35 - 39,132
2014,40 - 44,138
2014,45 - 49,136
2014,50 - 54,143
2014,55 - 59,124
2014,60 - 64,92
2014,65+,74
2013,15 - 19,18
2013,20 - 24,79
2013,25 - 29,96
2013,30 - 34,123
2013,35 - 39,135
2013,40 - 44,140
2013,45 - 49,146
2013,50 - 54,143
2013,55 - 59,118
2013,60 - 64,83
2013,65+,63
2012,15 - 19,18
2012,20 - 24,85
2012,25 - 29,98
2012,30 - 34,121
2012,35 - 39,138
2012,40 - 44,140
2012,45 - 49,147
2012,50 - 54,141
2012,55 - 59,117
2012,60 - 64,79
2012,65+,54
2011,15 - 19,20
2011,20 - 24,77
2011,25 - 29,103
2011,30 - 34,124
2011,35 - 39,140
2011,40 - 44,136
2011,45 - 49,150
2011,50 - 54,139
2011,55 - 59,109
2011,60 - 64,71
2011,65+,50
2010,15 - 19,23
2010,20 - 24,76
2010,25 - 29,107
2010,30 - 34,127
2010,35 - 39,146
2010,40 - 44,138
2010,45 - 49,149
2010,50 - 54,132
2010,55 - 59,107
2010,60 - 64,61
2010,65+,41
2009,15 - 19,17
2009,20 - 24,70
2009,25 - 29,103
2009,30 - 34,125
2009,35 - 39,135
2009,40 - 44,145
2009,45 - 49,146
2009,50 - 54,132
2009,55 - 59,96
2009,60 - 64,58
2009,65+,40
2008,15 - 19,19
2008,20 - 24,70
2008,25 - 29,98
2008,30 - 34,121
2008,35 - 39,142
2008,40 - 44,145
2008,45 - 49,150
2008,50 - 54,130
2008,55 - 59,94
2008,60 - 64,50
2008,65+,35
2007,15 - 19,20
2007,20 - 24,68
2007,25 - 29,98
2007,30 - 34,127
2007,35 - 39,138
2007,40 - 44,145
2007,45 - 49,147
2007,50 - 54,128
2007,55 - 59,93
2007,60 - 64,43
2007,65+,32
2005,15 - 19,13
2005,20 - 24,61
2005,25 - 29,101
2005,30 - 34,128
2005,35 - 39,137
2005,40 - 44,150
2005,45 - 49,136
2005,50 - 54,110
2005,55 - 59,71
2005,60 - 64,29
2005,65+,23
2004,15 - 19,14
2004,20 - 24,70
2004,25 - 29,97
2004,30 - 34,127
2004,35 - 39,132
2004,40 - 44,150
2004,45 - 49,139
2004,50 - 54,111
2004,55 - 59,70
2004,60 - 64,31
2004,65+,21
2003,15 - 19,14
2003,20 - 24,67
2003,25 - 29,97
2003,30 - 34,126
2003,35 - 39,142
2003,40 - 44,146
2003,45 - 49,135
2003,50 - 54,105
2003,55 - 59,63
2003,60 - 64,31
2003,65+,23
2002,15 - 19,13
2002,20 - 24,66
2002,25 - 29,99
2002,30 - 34,124
2002,35 - 39,150
2002,40 - 44,147
2002,45 - 49,127
2002,50 - 54,104
2002,55 - 59,55
2002,60 - 64,31
2002,65+,22
2001,15 - 19,19
2001,20 - 24,69
2001,25 - 29,105
2001,30 - 34,126
2001,35 - 39,151
2001,40 - 44,149
2001,45 - 49,126
2001,50 - 54,100
2001,55 - 59,42
2001,60 - 64,31
2001,65+,21
2000,15 - 19,15
2000,20 - 24,62
2000,25 - 29,109
2000,30 - 34,127
2000,35 - 39,146
2000,40 - 44,141
2000,45 - 49,117
2000,50 - 54,87
2000,55 - 59,43
2000,60 - 64,26
2000,65+,19
