Year,Skills Level,Numbers
2022,Certificate,166106
2022,Higher Certificate,52279
2022,Advanced Certificate,75924
2022,Diploma,46969
2022,Specialist Diploma,10094
2022,Graduate Certificate,1024
2022,Graduate Diploma,116
2022,Others,63866
2021,Certificate,175173
2021,Higher Certificate,60587
2021,Advanced Certificate,95585
2021,Diploma,60614
2021,Specialist Diploma,11732
2021,Graduate Certificate,266
2021,Graduate Diploma,648
2021,Others,93841
2020,Certificate,128567
2020,Higher Certificate,87620
2020,Advanced Certificate,71382
2020,Diploma,47047
2020,Specialist Diploma,11966
2020,Graduate Certificate,794
2020,Graduate Diploma,1673
2020,Others,86144
2019,Certificate,179164
2019,Higher Certificate,83413
2019,Advanced Certificate,70269
2019,Diploma,49483
2019,Specialist Diploma,12117
2019,Graduate Certificate,774
2019,Graduate Diploma,406
2019,Others,72783
2018,Certificate,226721
2018,Higher Certificate,26856
2018,Advanced Certificate,71782
2018,Diploma,52796
2018,Specialist Diploma,14664
2018,Graduate Certificate,594
2018,Graduate Diploma,653
2018,Others,66070
2017,Certificate,220810
2017,Higher Certificate,17478
2017,Advanced Certificate,61907
2017,Diploma,46436
2017,Specialist Diploma,10986
2017,Graduate Certificate,488
2017,Graduate Diploma,1007
2017,Others,48621
2016,Certificate,203627
2016,Higher Certificate,15743
2016,Advanced Certificate,60041
2016,Diploma,41918
2016,Specialist Diploma,9514
2016,Graduate Certificate,580
2016,Graduate Diploma,980
2016,Others,42704
2015,Certificate,190680
2015,Higher Certificate,13457
2015,Advanced Certificate,50727
2015,Diploma,35887
2015,Specialist Diploma,7902
2015,Graduate Certificate,483
2015,Graduate Diploma,847
2015,Others,32328
2014,Certificate,188700
2014,Higher Certificate,10728
2014,Advanced Certificate,55944
2014,Diploma,36117
2014,Specialist Diploma,8790
2014,Graduate Certificate,756
2014,Graduate Diploma,738
2014,Others,34350
2013,Certificate,164867
2013,Higher Certificate,11146
2013,Advanced Certificate,45699
2013,Diploma,32873
2013,Specialist Diploma,7604
2013,Graduate Certificate,784
2013,Graduate Diploma,550
2013,Others,32514
2012,Certificate,155148
2012,Higher Certificate,7294
2012,Advanced Certificate,31628
2012,Diploma,19771
2012,Specialist Diploma,5760
2012,Graduate Certificate,751
2012,Graduate Diploma,393
2012,Others,22423
2011,Certificate,147901
2011,Higher Certificate,11678
2011,Advanced Certificate,48433
2011,Diploma,23363
2011,Specialist Diploma,5417
2011,Graduate Certificate,1029
2011,Graduate Diploma,390
2011,Others,45962
